,participant,cost,likelihood
338,22,cost_2100,24.0
339,22,cost_2200,22.0
340,22,cost_2300,22.0
341,22,cost_2400,20.0
342,22,cost_2500,24.0
343,22,cost_2600,23.0
344,22,cost_2700,18.0
345,22,cost_2800,21.0
346,22,cost_2900,21.0
347,22,cost_3000,18.0
348,23,cost_0,100.0
349,23,cost_25,100.0
350,23,cost_50,100.0
351,23,cost_100,100.0
352,23,cost_200,90.0
353,23,cost_300,90.0
354,23,cost_400,70.0
355,23,cost_500,70.0
356,23,cost_1100,30.0
357,23,cost_1200,30.0
358,23,cost_1300,30.0
359,23,cost_1400,30.0
360,23,cost_1500,0.0
361,24,cost_0,100.0
362,24,cost_25,100.0
363,24,cost_50,100.0
364,24,cost_100,100.0
365,24,cost_200,80.0
366,24,cost_300,70.0
367,24,cost_400,60.0
368,24,cost_600,40.0
369,24,cost_700,30.0
370,24,cost_800,10.0
371,24,cost_900,0.0
372,25,cost_0,100.0
373,25,cost_25,99.0
374,25,cost_50,100.0
375,25,cost_100,100.0
376,25,cost_200,75.0
377,25,cost_300,56.0
378,25,cost_500,33.0
379,25,cost_600,16.0
380,25,cost_700,2.0
381,25,cost_800,2.0
382,25,cost_900,4.0
383,25,cost_1000,7.0
384,25,cost_1100,1.0
385,25,cost_1200,0.0
386,26,cost_0,100.0
387,26,cost_25,100.0
388,26,cost_50,100.0
389,26,cost_100,100.0
390,26,cost_200,100.0
391,26,cost_300,90.0
392,26,cost_400,83.0
393,26,cost_500,71.0
394,26,cost_600,29.0
395,26,cost_700,18.0
396,26,cost_800,17.0
397,26,cost_900,10.0
398,26,cost_1000,5.0
399,26,cost_1100,0.0
400,27,cost_0,100.0
401,27,cost_25,100.0
402,27,cost_50,100.0
403,27,cost_100,100.0
404,27,cost_200,100.0
405,27,cost_300,70.0
406,27,cost_400,20.0
407,27,cost_500,0.0
408,28,cost_0,100.0
409,28,cost_25,100.0
410,28,cost_50,100.0
411,28,cost_100,100.0
412,28,cost_200,100.0
413,28,cost_300,100.0
414,28,cost_400,100.0
415,28,cost_500,100.0
416,28,cost_600,80.0
417,28,cost_700,70.0
418,28,cost_800,60.0
419,28,cost_900,60.0
420,28,cost_1000,50.0
421,28,cost_1100,50.0
422,28,cost_1200,50.0
423,28,cost_1300,40.0
424,28,cost_1400,40.0
425,28,cost_1500,40.0
426,28,cost_1600,30.0
427,28,cost_1700,30.0
428,28,cost_1800,30.0
429,28,cost_1900,30.0
430,28,cost_2000,25.0
431,28,cost_2100,25.0
432,28,cost_2200,24.0
433,28,cost_2300,21.0
434,28,cost_2400,20.0
435,28,cost_2500,17.0
436,28,cost_2600,17.0
437,28,cost_2700,19.0
438,28,cost_2800,22.0
439,28,cost_2900,18.0
440,28,cost_3000,13.0
441,29,cost_0,100.0
442,29,cost_25,100.0
443,29,cost_50,50.0
444,29,cost_200,51.0
445,29,cost_300,15.0
446,29,cost_400,0.0
447,30,cost_0,100.0
448,30,cost_25,100.0
449,30,cost_50,100.0
450,30,cost_100,100.0
451,30,cost_200,100.0
452,30,cost_300,100.0
453,30,cost_400,100.0
454,30,cost_500,90.0
455,30,cost_600,91.0
456,30,cost_700,80.0
457,30,cost_800,80.0
458,30,cost_900,80.0
459,30,cost_1000,80.0
460,30,cost_1100,75.0
461,30,cost_1200,70.0
462,30,cost_1300,51.0
463,30,cost_1400,50.0
464,30,cost_1500,50.0
465,30,cost_1600,40.0
466,30,cost_1700,40.0
467,30,cost_1800,40.0
468,30,cost_1900,40.0
469,30,cost_2000,40.0
470,30,cost_2100,30.0
471,30,cost_2200,20.0
472,30,cost_2300,14.0
473,30,cost_2400,10.0
474,30,cost_2500,0.0
475,31,cost_0,100.0
476,31,cost_25,100.0
477,31,cost_50,100.0
478,31,cost_100,100.0
479,31,cost_200,100.0
480,31,cost_300,100.0
481,31,cost_600,40.0
482,31,cost_700,22.0
483,31,cost_800,21.0
484,31,cost_900,0.0
485,32,cost_0,100.0
486,32,cost_25,100.0
487,32,cost_50,100.0
488,32,cost_100,100.0
489,32,cost_200,100.0
490,32,cost_300,100.0
491,32,cost_400,70.0
492,32,cost_500,51.0
493,32,cost_600,40.0
494,32,cost_700,30.0
495,32,cost_800,20.0
496,32,cost_900,10.0
497,32,cost_1000,2.0
498,32,cost_1100,0.0
499,33,cost_0,100.0
500,33,cost_25,100.0
501,33,cost_50,100.0
502,33,cost_100,100.0
503,33,cost_200,100.0
504,33,cost_300,50.0
505,33,cost_500,20.0
506,33,cost_600,20.0
507,33,cost_700,15.0
508,33,cost_800,6.0
509,33,cost_900,5.0
510,33,cost_1000,4.0
511,33,cost_1100,0.0
512,34,cost_0,100.0
513,34,cost_25,100.0
514,34,cost_50,100.0
515,34,cost_100,100.0
516,34,cost_200,100.0
517,34,cost_300,90.0
518,34,cost_400,75.0
519,34,cost_500,71.0
520,34,cost_600,60.0
521,34,cost_700,40.0
522,34,cost_800,30.0
523,34,cost_900,10.0
524,34,cost_1000,0.0
525,35,cost_0,100.0
526,35,cost_25,100.0
527,35,cost_50,100.0
528,35,cost_100,100.0
529,35,cost_200,100.0
530,35,cost_300,75.0
531,35,cost_400,70.0
532,35,cost_500,60.0
533,35,cost_600,50.0
534,35,cost_700,40.0
535,35,cost_800,30.0
536,35,cost_900,15.0
537,35,cost_1000,5.0
538,35,cost_1100,0.0
539,36,cost_0,100.0
540,36,cost_25,100.0
541,36,cost_50,100.0
542,36,cost_100,100.0
543,36,cost_200,100.0
544,36,cost_300,100.0
545,36,cost_400,100.0
546,36,cost_500,90.0
547,36,cost_1000,30.0
548,36,cost_1100,30.0
549,36,cost_1200,30.0
550,36,cost_1300,30.0
551,36,cost_1400,30.0
552,36,cost_1500,30.0
553,36,cost_1600,29.0
554,36,cost_1700,30.0
555,36,cost_1800,30.0
556,36,cost_1900,30.0
557,36,cost_2000,30.0
558,36,cost_2100,30.0
559,36,cost_2200,30.0
560,37,cost_0,100.0
561,37,cost_25,100.0
562,37,cost_50,100.0
563,37,cost_100,100.0
564,37,cost_200,100.0
565,37,cost_300,100.0
